CustomerID,churn_probability,churn_risk_label,churned
10153,0.0002825457,Low,0
10154,0.00034960386,Low,0
10155,0.00072691933,Low,0
10156,0.0002151362,Low,0
10157,0.002110522,Low,0
10158,0.0013542166,Low,0
10159,0.00015907291,Low,0
10160,0.0009477261,Low,0
10161,0.0070801387,Low,0
10162,0.000775203,Low,0
10163,0.0002599717,Low,0
10164,4.1268286e-05,Low,0
10165,0.0004494161,Low,0
10166,0.07642241,Low,0
10167,4.8731355e-05,Low,0
10168,0.00027032295,Low,0
10169,0.0001585671,Low,0
10170,0.0002199278,Low,0
10171,0.00030698703,Low,0
10172,0.021862427,Low,1
10173,0.00012807266,Low,0
10174,0.00011825047,Low,0
10175,0.0014193328,Low,0
10176,0.0010637399,Low,0
10177,0.00039128348,Low,0
10178,0.00016818993,Low,0
10179,0.0024495532,Low,0
10180,0.00013521822,Low,0
10181,0.0012917842,Low,0
10182,0.00023327704,Low,0
10183,7.660852e-05,Low,0
10184,0.0056450395,Low,0
10185,0.00032529564,Low,0
10186,0.9955776,High,1
10187,3.1977175e-05,Low,0
10188,0.00077574025,Low,0
10189,0.053025093,Low,0
10190,0.000979976,Low,0
10191,0.0086995205,Low,0
10192,0.0010010812,Low,0
10193,0.0005289148,Low,0
10194,0.44581935,Medium,0
10195,0.00023409877,Low,0
10196,3.813346e-05,Low,0
10197,0.15159866,Low,0
10198,0.00042897346,Low,0
10199,0.00043581479,Low,0
10200,0.01477425,Low,0
10201,0.0011580378,Low,0
10202,0.008924081,Low,0
10203,0.00041602526,Low,0
10204,0.00023335846,Low,0
10205,0.0005663953,Low,0
10206,0.33434612,Medium,0
10207,0.022890598,Low,0
10208,0.0019167354,Low,0
10209,8.968498e-05,Low,0
10210,8.838202e-05,Low,0
10211,0.00076915405,Low,0
10212,0.0011238037,Low,0
10213,0.0008068491,Low,0
10214,0.00013880689,Low,0
10215,0.04147323,Low,0
10216,0.0010107533,Low,0
10217,0.014043218,Low,0
10218,0.008480763,Low,0
10219,0.0007817336,Low,0
10220,0.0005933498,Low,0
10221,0.00052580656,Low,0
10222,0.0020003563,Low,0
10223,0.034577206,Low,0
10224,0.0002372052,Low,0
10225,0.000116081836,Low,0
10226,0.00013875622,Low,0
10227,0.0008421535,Low,0
10228,0.0005668098,Low,0
10229,0.00019464437,Low,0
